                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99247,                 1.0401,                 1.0425,                0.07704,                0.36481,                 0.0561,                0.03593,                 1.3201,                 10.904,                 1.4614,             0.00066286,             0.00066286,             0.00066286
                      2,                 1.0009,                0.78299,                 1.0546,                0.80688,                0.90844,                0.89612,                 0.6459,                0.93347,                 1.4055,                 1.0678,              0.0013164,              0.0013164,              0.0013164
                      3,                 1.0342,                0.78008,                 1.0635,                0.88125,                0.89707,                0.93775,                0.68718,                0.94059,                0.76053,                 1.0343,              0.0019567,              0.0019567,              0.0019567
                      4,                 1.0026,                0.74932,                 1.0607,                0.94555,                0.94134,                0.97895,                0.73388,                0.93163,                0.73857,                 1.0285,              0.0019406,              0.0019406,              0.0019406
                      5,                0.95173,                0.71885,                 1.0374,                0.95637,                0.92515,                0.97307,                0.73823,                0.84719,                0.58057,                0.98332,              0.0019208,              0.0019208,              0.0019208
                      6,                0.92743,                0.65224,                 1.0275,                0.96336,                0.96066,                0.98736,                0.77159,                0.82257,                0.54677,                0.97894,               0.001901,               0.001901,               0.001901
                      7,                0.91382,                0.62886,                 1.0255,                 0.9685,                0.95136,                0.98626,                0.74948,                0.84261,                 0.5763,                0.98574,              0.0018812,              0.0018812,              0.0018812
                      8,                0.87563,                0.61541,                  1.014,                0.96981,                0.95279,                0.98773,                0.78757,                 0.7718,                0.52098,                 0.9491,              0.0018614,              0.0018614,              0.0018614
                      9,                0.85494,                0.59174,                0.99078,                0.97226,                0.96924,                0.99181,                0.80507,                0.73906,                0.49102,                0.92047,              0.0018416,              0.0018416,              0.0018416
                     10,                0.84502,                0.57112,                0.98713,                0.96191,                0.95752,                 0.9872,                0.76906,                0.80559,                0.50319,                0.94804,              0.0018218,              0.0018218,              0.0018218
                     11,                0.81523,                0.56492,                0.98267,                0.97262,                0.95994,                0.98987,                 0.7944,                  0.751,                0.51521,                 0.9305,               0.001802,               0.001802,               0.001802
                     12,                0.80987,                0.55315,                0.96873,                0.97939,                0.97997,                0.99279,                0.78975,                0.75035,                0.46418,                0.92588,              0.0017822,              0.0017822,              0.0017822
                     13,                0.81653,                0.54745,                0.96724,                 0.9779,                0.97854,                0.99115,                0.81841,                0.68217,                0.45047,                0.90597,              0.0017624,              0.0017624,              0.0017624
                     14,                0.78149,                0.51187,                0.95925,                0.97961,                0.97783,                0.99279,                0.82422,                0.67795,                0.42568,                0.89993,              0.0017426,              0.0017426,              0.0017426
                     15,                0.75778,                0.49657,                0.95379,                0.98358,                0.98559,                0.99317,                0.82164,                0.67254,                0.41848,                0.89357,              0.0017228,              0.0017228,              0.0017228
                     16,                0.76664,                0.49075,                0.94439,                0.97193,                0.97783,                0.99118,                0.79946,                0.75277,                 0.4358,                 0.9351,               0.001703,               0.001703,               0.001703
                     17,                0.76466,                0.49898,                 0.9492,                0.98335,                0.96996,                0.99311,                0.84465,                0.64967,                0.41276,                 0.8863,              0.0016832,              0.0016832,              0.0016832
                     18,                0.73159,                0.48119,                0.93866,                0.97778,                0.97585,                0.99188,                0.82692,                0.65149,                0.41633,                0.88831,              0.0016634,              0.0016634,              0.0016634
                     19,                0.75058,                0.48752,                 0.9414,                0.98209,                0.98051,                0.99357,                 0.8447,                0.62988,                0.39607,                0.88092,              0.0016436,              0.0016436,              0.0016436
                     20,                0.73417,                0.48865,                0.94248,                 0.9814,                0.98139,                0.99231,                0.84126,                0.62856,                0.38776,                0.88545,              0.0016238,              0.0016238,              0.0016238
                     21,                0.73115,                0.47218,                0.93908,                0.98841,                0.97566,                 0.9938,                0.82556,                0.68977,                0.40991,                0.89175,               0.001604,               0.001604,               0.001604
                     22,                0.71989,                0.45333,                 0.9303,                0.98568,                0.98471,                0.99404,                0.83317,                0.65153,                0.38525,                0.88312,              0.0015842,              0.0015842,              0.0015842
                     23,                0.71698,                0.45363,                0.93429,                0.98887,                0.98641,                0.99411,                0.85485,                0.59875,                 0.3582,                0.87244,              0.0015644,              0.0015644,              0.0015644
                     24,                 0.7132,                0.44364,                0.91903,                0.99017,                0.98927,                 0.9942,                0.84876,                0.63613,                0.36819,                0.87531,              0.0015446,              0.0015446,              0.0015446
                     25,                0.70307,                0.44633,                0.91407,                0.98309,                0.98283,                0.99372,                0.84483,                0.61073,                0.37613,                0.86594,              0.0015248,              0.0015248,              0.0015248
                     26,                0.70068,                0.44444,                0.92411,                 0.9867,                0.98569,                 0.9942,                0.84888,                0.62961,                0.36558,                0.87783,               0.001505,               0.001505,               0.001505
                     27,                0.71222,                0.44224,                0.92849,                0.98363,                0.98843,                0.99448,                0.85012,                0.60839,                 0.3646,                0.87139,              0.0014852,              0.0014852,              0.0014852
                     28,                0.70534,                0.44352,                0.92178,                0.98679,                0.98641,                0.99387,                0.84355,                0.62959,                0.37612,                0.87488,              0.0014654,              0.0014654,              0.0014654
                     29,                0.68259,                 0.4254,                0.91203,                0.98226,                0.99035,                0.99375,                0.85718,                0.60146,                 0.3705,                 0.8715,              0.0014456,              0.0014456,              0.0014456
                     30,                0.70317,                0.44385,                0.92683,                0.98362,                0.98799,                0.99399,                0.85547,                0.61334,                0.37591,                0.87572,              0.0014258,              0.0014258,              0.0014258
                     31,                0.68164,                0.43026,                 0.9116,                0.98994,                0.98526,                0.99415,                0.84958,                0.58888,                0.35506,                0.86486,               0.001406,               0.001406,               0.001406
                     32,                0.69402,                0.42473,                0.91442,                 0.9907,                0.99428,                0.99416,                0.85492,                0.58626,                0.34662,                0.86417,              0.0013862,              0.0013862,              0.0013862
                     33,                0.65657,                0.41134,                0.91676,                0.98405,                0.98927,                0.99397,                0.86034,                0.58774,                0.33846,                0.86774,              0.0013664,              0.0013664,              0.0013664
                     34,                0.68964,                0.42779,                0.91986,                0.98551,                0.98927,                0.99466,                0.87083,                0.58262,                0.33574,                0.85868,              0.0013466,              0.0013466,              0.0013466
                     35,                0.67468,                 0.4118,                0.90894,                0.98804,                0.98856,                0.99446,                0.85967,                0.58926,                0.34166,                0.86452,              0.0013268,              0.0013268,              0.0013268
                     36,                0.68841,                0.42594,                0.90995,                0.98385,                0.98927,                0.99371,                0.85202,                0.60846,                0.36196,                 0.8587,               0.001307,               0.001307,               0.001307
                     37,                0.66022,                0.40724,                0.90096,                0.98994,                0.98856,                0.99444,                0.87137,                0.56863,                 0.3303,                0.85038,              0.0012872,              0.0012872,              0.0012872
                     38,                0.65259,                0.39649,                0.89932,                0.98719,                0.99236,                0.99446,                0.87487,                0.55698,                 0.3298,                0.84705,              0.0012674,              0.0012674,              0.0012674
                     39,                0.66573,                0.39878,                0.90345,                0.99497,                0.98989,                0.99448,                0.86876,                0.57328,                0.31752,                0.85038,              0.0012476,              0.0012476,              0.0012476
                     40,                0.65434,                0.39841,                0.89488,                 0.9845,                0.99213,                0.99408,                0.86865,                0.56246,                0.33253,                0.84774,              0.0012278,              0.0012278,              0.0012278
                     41,                0.64669,                0.38584,                0.90036,                0.99569,                0.99134,                0.99482,                 0.8733,                0.55592,                0.31635,                0.84517,               0.001208,               0.001208,               0.001208
                     42,                0.64117,                0.38677,                0.90006,                0.98788,                0.99079,                0.99419,                0.86817,                0.55407,                0.33811,                0.85066,              0.0011882,              0.0011882,              0.0011882
                     43,                0.63534,                0.38752,                 0.8976,                0.98647,                0.99061,                0.99383,                0.87213,                0.55667,                0.32097,                0.85069,              0.0011684,              0.0011684,              0.0011684
                     44,                0.65665,                0.38611,                0.90191,                0.98981,                0.98641,                0.99436,                0.86093,                0.58423,                0.33732,                0.85871,              0.0011486,              0.0011486,              0.0011486
                     45,                0.64048,                0.38876,                0.89802,                0.98717,                0.99046,                 0.9948,                0.86547,                0.57852,                0.34493,                0.85117,              0.0011288,              0.0011288,              0.0011288
                     46,                0.64475,                0.39377,                0.90035,                0.98931,                0.99323,                0.99451,                0.87422,                0.56062,                0.30846,                0.84714,               0.001109,               0.001109,               0.001109
                     47,                0.62366,                0.37207,                 0.8857,                0.99265,                0.98927,                0.99475,                0.87773,                0.54202,                0.29155,                0.84222,              0.0010892,              0.0010892,              0.0010892
                     48,                0.63068,                0.37297,                0.89379,                0.99126,                0.99142,                0.99483,                0.87138,                0.56212,                0.31323,                0.84562,              0.0010694,              0.0010694,              0.0010694
                     49,                 0.6348,                0.38186,                0.89334,                0.98999,                0.99035,                0.99457,                0.86315,                0.57566,                0.32029,                0.85217,              0.0010496,              0.0010496,              0.0010496
                     50,                 0.6232,                0.37009,                0.89154,                0.99394,                0.99285,                0.99447,                0.87694,                0.57299,                0.30604,                 0.8461,              0.0010298,              0.0010298,              0.0010298
                     51,                 0.6263,                0.36529,                0.89649,                0.99141,                0.99115,                0.99446,                0.87702,                0.54648,                0.30211,                0.85015,                0.00101,                0.00101,                0.00101
                     52,                0.63727,                0.37433,                0.89303,                0.98565,                0.99571,                0.99457,                0.87435,                0.55527,                0.30331,                0.84146,              0.0009902,              0.0009902,              0.0009902
                     53,                0.62816,                0.36197,                0.89831,                0.99465,                0.99356,                0.99472,                0.88312,                0.53419,                0.29159,                0.84614,              0.0009704,              0.0009704,              0.0009704
                     54,                0.61374,                0.35628,                0.89051,                0.99001,                0.99199,                0.99477,                0.88509,                0.53144,                0.28724,                0.83902,              0.0009506,              0.0009506,              0.0009506
                     55,                0.61254,                 0.3573,                0.88581,                0.99569,                0.99131,                0.99479,                0.88986,                 0.5237,                 0.2859,                 0.8399,              0.0009308,              0.0009308,              0.0009308
                     56,                0.61338,                0.35287,                0.89168,                0.99469,                0.99428,                0.99485,                0.89064,                0.51961,                0.28545,                0.83613,               0.000911,               0.000911,               0.000911
                     57,                0.58541,                0.34201,                0.87769,                0.99497,                0.98965,                0.99461,                0.89178,                 0.5113,                0.27642,                 0.8358,              0.0008912,              0.0008912,              0.0008912
                     58,                0.58945,                0.34637,                0.88512,                0.98986,                0.99499,                 0.9946,                0.89012,                 0.5241,                0.27707,                0.83598,              0.0008714,              0.0008714,              0.0008714
                     59,                0.59622,                0.34719,                0.87638,                0.99164,                0.99142,                0.99472,                0.88713,                0.52695,                0.28132,                0.83557,              0.0008516,              0.0008516,              0.0008516
                     60,                0.58089,                0.33539,                0.88141,                0.99285,                0.99304,                 0.9945,                0.88901,                0.52818,                0.28086,                0.83824,              0.0008318,              0.0008318,              0.0008318
                     61,                0.58447,                0.33713,                0.87899,                0.99143,                0.99245,                0.99475,                0.88906,                0.51826,                0.27446,                0.83316,               0.000812,               0.000812,               0.000812
                     62,                0.59909,                0.34211,                0.88374,                0.98822,                 0.9907,                0.99439,                0.89319,                0.51817,                 0.2788,                0.83319,              0.0007922,              0.0007922,              0.0007922
                     63,                 0.5834,                0.33361,                 0.8759,                0.99498,                0.99226,                0.99475,                0.88511,                0.53196,                0.27959,                0.83532,              0.0007724,              0.0007724,              0.0007724
                     64,                0.58971,                0.34071,                0.87682,                0.99532,                0.98999,                0.99468,                0.88749,                0.50958,                0.27052,                0.83235,              0.0007526,              0.0007526,              0.0007526
                     65,                0.57773,                0.33136,                0.87213,                0.99168,                0.99142,                0.99477,                0.89203,                  0.502,                0.27138,                0.82916,              0.0007328,              0.0007328,              0.0007328
                     66,                0.57176,                0.32664,                0.87806,                0.99468,                0.99499,                 0.9947,                0.89619,                 0.5012,                0.26846,                0.83146,               0.000713,               0.000713,               0.000713
                     67,                0.57402,                0.32354,                0.87393,                0.99427,                0.99344,                0.99493,                0.89581,                0.49596,                0.26674,                0.82729,              0.0006932,              0.0006932,              0.0006932
                     68,                0.58264,                 0.3399,                0.88132,                0.99284,                0.99242,                0.99484,                0.89593,                0.49418,                0.26433,                0.82967,              0.0006734,              0.0006734,              0.0006734
                     69,                0.56239,                0.32351,                0.87215,                0.99074,                0.99466,                0.99482,                0.90239,                 0.4929,                0.25727,                0.82748,              0.0006536,              0.0006536,              0.0006536
                     70,                0.55994,                0.31294,                0.86933,                0.99499,                0.99441,                 0.9949,                0.90313,                0.49027,                0.25856,                0.82597,              0.0006338,              0.0006338,              0.0006338
                     71,                0.56336,                0.32372,                0.87309,                0.99535,                0.99356,                0.99477,                0.90186,                0.48746,                0.25609,                0.82609,               0.000614,               0.000614,               0.000614
                     72,                0.55899,                 0.3195,                0.87614,                0.99714,                0.99682,                0.99487,                0.90331,                0.48325,                0.25355,                0.82493,              0.0005942,              0.0005942,              0.0005942
                     73,                0.55004,                 0.3117,                0.87566,                0.99241,                0.99142,                0.99472,                0.90198,                0.48497,                0.25253,                0.82434,              0.0005744,              0.0005744,              0.0005744
                     74,                0.55239,                0.31513,                0.86868,                 0.9891,                0.99928,                0.99485,                0.90786,                0.48221,                0.24861,                0.82207,              0.0005546,              0.0005546,              0.0005546
                     75,                0.55351,                0.31084,                0.86568,                0.99481,                0.99428,                0.99466,                0.90557,                0.47821,                0.25473,                0.82261,              0.0005348,              0.0005348,              0.0005348
                     76,                0.54193,                0.31067,                 0.8665,                0.99641,                0.99327,                0.99482,                0.90442,                0.47437,                 0.2465,                0.82262,               0.000515,               0.000515,               0.000515
                     77,                0.53863,                0.30785,                0.86592,                0.99642,                0.99356,                0.99472,                0.89729,                 0.4803,                 0.2439,                0.82246,              0.0004952,              0.0004952,              0.0004952
                     78,                0.54477,                0.30549,                0.86501,                0.99422,                0.98999,                0.99483,                0.89199,                0.48712,                0.25514,                0.82133,              0.0004754,              0.0004754,              0.0004754
                     79,                0.53993,                0.30067,                0.86333,                0.99356,                0.99363,                0.99471,                0.90511,                0.47323,                0.24106,                 0.8207,              0.0004556,              0.0004556,              0.0004556
                     80,                 0.5303,                0.29209,                0.85767,                0.99496,                0.99428,                0.99462,                0.90917,                0.46359,                0.23635,                 0.8187,              0.0004358,              0.0004358,              0.0004358
                     81,                0.52912,                0.29105,                0.86086,                0.99652,                0.99499,                0.99469,                0.91395,                0.45881,                0.23446,                0.81595,               0.000416,               0.000416,               0.000416
                     82,                0.52445,                0.29173,                0.86187,                0.99666,                0.99356,                0.99461,                 0.9095,                0.46255,                0.23829,                0.81699,              0.0003962,              0.0003962,              0.0003962
                     83,                0.52551,                0.29642,                 0.8622,                0.99499,                 0.9948,                0.99475,                0.91097,                0.45563,                0.23326,                0.81683,              0.0003764,              0.0003764,              0.0003764
                     84,                0.52498,                0.29116,                0.85749,                0.99417,                0.99499,                0.99491,                0.91843,                0.45416,                0.23279,                0.81568,              0.0003566,              0.0003566,              0.0003566
                     85,                0.51991,                  0.291,                0.86353,                 0.9957,                 0.9941,                0.99458,                0.91409,                0.45364,                0.23115,                0.81574,              0.0003368,              0.0003368,              0.0003368
                     86,                0.50926,                0.27958,                 0.8578,                0.99357,                0.99432,                0.99465,                0.91733,                0.45323,                 0.2259,                0.81417,               0.000317,               0.000317,               0.000317
                     87,                0.52288,                0.28574,                0.86314,                0.99737,                0.99642,                0.99476,                0.91772,                0.44689,                0.22149,                0.81462,              0.0002972,              0.0002972,              0.0002972
                     88,                0.51039,                0.28408,                0.86218,                 0.9956,                0.99499,                0.99484,                0.91719,                 0.4513,                0.22559,                0.81429,              0.0002774,              0.0002774,              0.0002774
                     89,                0.49513,                 0.2711,                0.85507,                0.99271,                0.99571,                0.99486,                0.91677,                0.45065,                0.22662,                 0.8133,              0.0002576,              0.0002576,              0.0002576
                     90,                0.50136,                0.27586,                0.86006,                0.99521,                0.99499,                 0.9948,                0.92082,                0.44133,                0.22297,                0.81151,              0.0002378,              0.0002378,              0.0002378
                     91,                0.47589,                0.25063,                0.83089,                0.99523,                0.99642,                0.99492,                0.91574,                0.44607,                0.22716,                0.81331,               0.000218,               0.000218,               0.000218
                     92,                0.47884,                 0.2458,                0.83131,                0.99571,                 0.9955,                0.99493,                0.91985,                0.44378,                0.22522,                 0.8129,              0.0001982,              0.0001982,              0.0001982
                     93,                0.47017,                0.23778,                0.82131,                0.99217,                0.99765,                0.99482,                0.92409,                0.43443,                0.22032,                0.80906,              0.0001784,              0.0001784,              0.0001784
                     94,                0.46518,                0.24172,                0.81727,                0.99289,                0.99837,                0.99489,                0.92515,                 0.4334,                0.21857,                0.80883,              0.0001586,              0.0001586,              0.0001586
                     95,                0.46179,                 0.2334,                0.81959,                0.99461,                0.99642,                0.99475,                0.92602,                0.43059,                0.21443,                0.80905,              0.0001388,              0.0001388,              0.0001388
                     96,                0.46451,                0.23362,                0.81891,                0.99663,                0.99642,                0.99468,                0.92714,                0.43091,                0.21448,                0.80826,               0.000119,               0.000119,               0.000119
                     97,                0.46062,                0.23144,                0.82037,                0.99289,                0.99912,                0.99482,                0.92983,                0.42283,                0.21085,                0.80797,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.45769,                0.22944,                0.81537,                0.99632,                0.99642,                0.99475,                0.92998,                0.42257,                0.21132,                0.80727,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.44841,                0.22443,                0.81435,                0.99289,                 0.9991,                 0.9947,                0.93015,                0.41564,                0.20679,                0.80582,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.44687,                0.22282,                0.81719,                0.99771,                0.99642,                0.99477,                0.92936,                0.41542,                0.20549,                0.80611,               3.98e-05,               3.98e-05,               3.98e-05
